年份,季度,企业,品牌,车型,排量,原城市,流向城市,车龄年,数量
2017,第二季度,广汽本田,本田,雅阁,2.4L,哈尔滨市,大兴安岭地区,8-9年,1
2017,第二季度,广汽本田,本田,雅阁,2.0L,遂宁市,呼和浩特市,6-7年,1
2017,第二季度,广汽本田,本田,雅阁,2.4L,营口市,大连市,5-6年,1
2017,第二季度,广汽本田,本田,雅阁,2.4L,茂名市,茂名市,2-3年,3
2017,第二季度,广汽本田,本田,雅阁,2.4L,南宁市,汕尾市,3-4年,1
2017,第二季度,广汽本田,本田,雅阁,3.0L,银川市,银川市,14-15年,2
2017,第二季度,广汽本田,本田,雅阁,3.0L,哈尔滨市,大庆市,13-14年,1
2017,第二季度,广汽本田,本田,雅阁,2.4L,鞍山市,营口市,3-4年,1
2017,第二季度,广汽本田,本田,雅阁,2.4L,雅安市,雅安市,9-10年,2
2017,第二季度,广汽本田,本田,雅阁,2.4L,重庆市,阿克苏地区,9-10年,2
2017,第二季度,广汽本田,本田,雅阁,2.4L,岳阳市,岳阳市,9-10年,2
2017,第二季度,广汽本田,本田,雅阁,2.4L,昆明市,包头市,7-8年,1
2017,第二季度,广汽本田,本田,雅阁,2.0L,内江市,银川市,8-9年,1
2017,第二季度,广汽本田,本田,雅阁,2.0L,包头市,包头市,3-4年,1
2017,第二季度,广汽本田,本田,雅阁,2.0L,绍兴市,绍兴市,4-5年,6
2017,第二季度,广汽本田,本田,雅阁,2.4L,镇江市,镇江市,7-8年,4
2017,第二季度,广汽本田,本田,雅阁,2.0L,长春市,盘锦市,7-8年,1
2017,第二季度,广汽本田,本田,雅阁,2.4L,嘉兴市,嘉兴市,10-11年,9
2017,第二季度,广汽本田,本田,雅阁,2.0L,鹤岗市,鹤岗市,4-5年,1
2017,第二季度,广汽本田,本田,雅阁,2.0L,长沙市,南昌市,6-7年,1
2017,第二季度,广汽本田,本田,雅阁,2.0L,承德市,长治市,6-7年,1
2017,第二季度,广汽本田,本田,雅阁,2.4L,驻马店市,驻马店市,2-3年,1
2017,第二季度,广汽本田,本田,雅阁,2.0L,芜湖市,潮州市,8-9年,1
2017,第二季度,广汽本田,本田,雅阁,2.4L,达州市,成都市,7-8年,1
2017,第二季度,广汽本田,本田,雅阁,2.4L,漳州市,漳州市,1-2年,1
2017,第二季度,广汽本田,本田,雅阁,2.4L,白银市,兰州市,13-14年,1
2017,第二季度,广汽本田,本田,雅阁,2.4L,苏州市,和田地区,13-14年,1
2017,第二季度,广汽本田,本田,雅阁,2.4L,重庆市,包头市,5-6年,1
2017,第二季度,广汽本田,本田,雅阁,2.0L,甘南藏族自治州,巴彦淖尔市,6-7年,1
2017,第二季度,广汽本田,本田,雅阁,2.0L,宁波市,临夏回族自治州,6-7年,1
2017,第二季度,广汽本田,本田,雅阁,2.4L,淮安市,淮安市,7-8年,4
2017,第二季度,广汽本田,本田,雅阁,2.0L,雅安市,雅安市,14-15年,1
2017,第二季度,广汽本田,本田,雅阁,2.4L,贵阳市,西宁市,5-6年,1
2017,第二季度,广汽本田,本田,雅阁,2.4L,重庆市,吴忠市,11-12年,1
2017,第二季度,广汽本田,本田,雅阁,2.4L,遂宁市,遂宁市,9-10年,6
2017,第二季度,广汽本田,本田,雅阁,2.0L,北京市,赤峰市,7-8年,8
2017,第二季度,广汽本田,本田,雅阁,3.0L,长治市,长治市,11-12年,1
2017,第二季度,广汽本田,本田,雅阁,2.0L,武汉市,襄阳市,5-6年,2
2017,第二季度,广汽本田,本田,雅阁,2.0L,巴中市,巴中市,5-6年,1
2017,第二季度,广汽本田,本田,雅阁,2.0L,丽水市,宁德市,8-9年,1
2017,第二季度,广汽本田,本田,雅阁,2.0L,贵阳市,贵阳市,5-6年,2
2017,第二季度,广汽本田,本田,雅阁,2.4L,乌鲁木齐市,乌鲁木齐市,2-3年,2
2017,第二季度,广汽本田,本田,雅阁,2.4L,郑州市,双鸭山市,3-4年,1
2017,第二季度,广汽本田,本田,雅阁,2.0L,岳阳市,岳阳市,11-12年,11
2017,第二季度,广汽本田,本田,雅阁,2.0L,重庆市,石嘴山市,6-7年,1
2017,第二季度,广汽本田,本田,雅阁,2.0L,辽源市,辽源市,15年以上,1
2017,第二季度,广汽本田,本田,雅阁,2.0L,鹤岗市,哈尔滨市,5-6年,1
2017,第二季度,广汽本田,本田,雅阁,2.0L,汕头市,汕头市,10-11年,3
2017,第二季度,广汽本田,本田,雅阁,2.4L,临夏回族自治州,银川市,5-6年,1
2017,第二季度,广汽本田,本田,雅阁,2.0L,宁波市,银川市,5-6年,1
2017,第二季度,广汽本田,本田,雅阁,2.4L,深圳市,汕头市,3-4年,1
2017,第二季度,广汽本田,本田,雅阁,2.0L,南京市,南京市,14-15年,6
2017,第二季度,广汽本田,本田,雅阁,2.4L,天门市,天门市,9-10年,1
2017,第二季度,广汽本田,本田,雅阁,2.4L,贵阳市,贵阳市,13-14年,4
2017,第二季度,广汽本田,本田,雅阁,2.0L,达州市,达州市,13-14年,1
2017,第二季度,广汽本田,本田,雅阁,2.0L,西安市,巴彦淖尔市,4-5年,2
2017,第二季度,广汽本田,本田,雅阁,2.0L,嘉兴市,嘉兴市,14-15年,4
2017,第二季度,广汽本田,本田,雅阁,2.0L,张掖市,张掖市,9-10年,1
2017,第二季度,广汽本田,本田,雅阁,2.4L,呼和浩特市,巴彦淖尔市,6-7年,1
2017,第二季度,广汽本田,本田,雅阁,2.4L,吉安市,吉安市,13-14年,2
2017,第二季度,广汽本田,本田,雅阁,2.4L,烟台市,威海市,5-6年,1
2017,第二季度,广汽本田,本田,雅阁,2.4L,湘西土家族苗族自治州,湘西土家族苗族自治州,9-10年,2
2017,第二季度,广汽本田,本田,雅阁,2.3L,怒江傈僳族自治州,怒江傈僳族自治州,15年以上,1
2017,第二季度,广汽本田,本田,雅阁,2.0L,湘潭市,长沙市,8-9年,1
2017,第二季度,广汽本田,本田,雅阁,2.0L,运城市,运城市,5-6年,3
2017,第二季度,广汽本田,本田,雅阁,2.0L,青岛市,潍坊市,7-8年,2
2017,第二季度,广汽本田,本田,雅阁,2.3L,钦州市,钦州市,15年以上,8
2017,第二季度,广汽本田,本田,雅阁,2.4L,西安市,甘南藏族自治州,6-7年,1
2017,第二季度,广汽本田,本田,雅阁,2.0L,杭州市,盘锦市,8-9年,1
2017,第二季度,广汽本田,本田,雅阁,2.4L,南京市,淮南市,8-9年,2
2017,第二季度,广汽本田,本田,雅阁,2.0L,上海市,六盘水市,6-7年,1
2017,第二季度,广汽本田,本田,雅阁,2.0L,怀化市,邵阳市,6-7年,1
2017,第二季度,广汽本田,本田,雅阁,2.0L,福州市,烟台市,5-6年,1
2017,第二季度,广汽本田,本田,雅阁,2.4L,南阳市,铜川市,5-6年,1
2017,第二季度,广汽本田,本田,雅阁,3.0L,北京市,巴音郭楞蒙古自治州,14-15年,7
2017,第二季度,广汽本田,本田,雅阁,2.4L,南阳市,南阳市,11-12年,1
2017,第二季度,广汽本田,本田,雅阁,2.0L,阜阳市,阜阳市,11-12年,1
2017,第二季度,广汽本田,本田,雅阁,2.3L,随州市,随州市,15年以上,1
2017,第二季度,广汽本田,本田,雅阁,2.0L,青岛市,临沂市,3-4年,1
2017,第二季度,广汽本田,本田,雅阁,2.0L,深圳市,深圳市,14-15年,6
2017,第二季度,广汽本田,本田,雅阁,2.4L,新余市,揭阳市,10-11年,1
2017,第二季度,广汽本田,本田,雅阁,2.4L,博尔塔拉蒙古自治州,博尔塔拉蒙古自治州,9-10年,2
2017,第二季度,广汽本田,本田,雅阁,2.0L,随州市,随州市,4-5年,1
2017,第二季度,广汽本田,本田,雅阁,2.0L,重庆市,重庆市,3-4年,5
2017,第二季度,广汽本田,本田,雅阁,2.4L,临沂市,临沂市,14-15年,2
2017,第二季度,广汽本田,本田,雅阁,2.4L,许昌市,许昌市,11-12年,5
2017,第二季度,广汽本田,本田,雅阁,2.4L,阜阳市,阿拉善盟,7-8年,1
2017,第二季度,广汽本田,本田,雅阁,2.4L,徐州市,徐州市,12-13年,4
2017,第二季度,广汽本田,本田,雅阁,2.0L,江门市,阳江市,10-11年,1
2017,第二季度,广汽本田,本田,雅阁,2.0L,大兴安岭地区,垦区,2-3年,1
2017,第二季度,广汽本田,本田,雅阁,2.4L,上海市,塔城地区,12-13年,2
2017,第二季度,广汽本田,本田,雅阁,2.4L,金华市,金华市,11-12年,12
2017,第二季度,广汽本田,本田,雅阁,2.4L,辽阳市,哈尔滨市,3-4年,1
2017,第二季度,广汽本田,本田,雅阁,2.4L,孝感市,和田地区,7-8年,1
2017,第二季度,广汽本田,本田,雅阁,2.0L,阿勒泰地区,阿勒泰地区,7-8年,1
2017,第二季度,广汽本田,本田,雅阁,2.0L,武汉市,三明市,4-5年,1
2017,第二季度,广汽本田,本田,雅阁,2.4L,安庆市,安庆市,6-7年,1
2017,第二季度,广汽本田,本田,雅阁,2.0L,吉林市,通化市,2-3年,1
2017,第二季度,广汽本田,本田,雅阁,2.0L,重庆市,崇左市,7-8年,1
2017,第二季度,广汽本田,本田,雅阁,2.0L,福州市,云浮市,10-11年,1
2017,第二季度,广汽本田,本田,雅阁,2.0L,深圳市,白城市,6-7年,1
2017,第二季度,广汽本田,本田,雅阁,2.0L,邢台市,邢台市,15年以上,3
2017,第二季度,广汽本田,本田,雅阁,2.4L,荆门市,荆门市,2-3年,1
2017,第二季度,广汽本田,本田,雅阁,2.0L,克拉玛依市,克拉玛依市,2-3年,1
2017,第二季度,广汽本田,本田,雅阁,2.4L,贵阳市,湛江市,10-11年,1
2017,第二季度,广汽本田,本田,雅阁,2.4L,上海市,河源市,11-12年,3
2017,第二季度,广汽本田,本田,雅阁,2.4L,上海市,乌鲁木齐市,4-5年,1
2017,第二季度,广汽本田,本田,雅阁,2.0L,烟台市,烟台市,9-10年,9
2017,第二季度,广汽本田,本田,雅阁,2.0L,安顺市,安顺市,7-8年,1
2017,第二季度,广汽本田,本田,雅阁,2.4L,克拉玛依市,克拉玛依市,12-13年,3
2017,第二季度,广汽本田,本田,雅阁,3.5L,绍兴市,绍兴市,7-8年,1
2017,第二季度,广汽本田,本田,雅阁,2.0L,南通市,潍坊市,8-9年,1
2017,第二季度,广汽本田,本田,雅阁,2.4L,乌鲁木齐市,天津市,9-10年,1
2017,第二季度,广汽本田,本田,雅阁,2.0L,赣州市,赣州市,12-13年,2
2017,第二季度,广汽本田,本田,雅阁,2.4L,肇庆市,肇庆市,5-6年,2
2017,第二季度,广汽本田,本田,雅阁,2.0L,眉山市,成都市,4-5年,1
2017,第二季度,广汽本田,本田,雅阁,2.4L,扬州市,防城港市,12-13年,1
2017,第二季度,广汽本田,本田,雅阁,2.0L,襄阳市,襄阳市,9-10年,3
2017,第二季度,广汽本田,本田,雅阁,2.0L,德阳市,成都市,3-4年,1
2017,第二季度,广汽本田,本田,雅阁,2.0L,云浮市,云浮市,12-13年,4
2017,第二季度,广汽本田,本田,雅阁,2.0L,双鸭山市,双鸭山市,9-10年,2
2017,第二季度,广汽本田,本田,雅阁,2.0L,福州市,宁德市,7-8年,1
2017,第二季度,广汽本田,本田,雅阁,2.4L,鄂尔多斯市,鄂尔多斯市,4-5年,4
2017,第二季度,广汽本田,本田,雅阁,2.4L,东莞市,韶关市,9-10年,1
2017,第二季度,广汽本田,本田,雅阁,3.0L,揭阳市,揭阳市,10-11年,1
2017,第二季度,广汽本田,本田,雅阁,2.4L,黄冈市,黄冈市,6-7年,4
2017,第二季度,广汽本田,本田,雅阁,2.4L,上海市,红河哈尼族彝族自治州,9-10年,1
2017,第二季度,广汽本田,本田,雅阁,2.4L,常州市,常州市,9-10年,12
2017,第二季度,广汽本田,本田,雅阁,2.4L,徐州市,巴音郭楞蒙古自治州,10-11年,1
2017,第二季度,广汽本田,本田,雅阁,2.3L,伊犁哈萨克自治州,伊犁哈萨克自治州,14-15年,1
2017,第二季度,广汽本田,本田,雅阁,2.0L,天津市,呼和浩特市,7-8年,1
2017,第二季度,广汽本田,本田,雅阁,2.0L,太原市,太原市,7-8年,14
2017,第二季度,广汽本田,本田,雅阁,2.4L,宁波市,湛江市,10-11年,2
2017,第二季度,广汽本田,本田,雅阁,2.4L,汕头市,汕头市,12-13年,13
2017,第二季度,广汽本田,本田,雅阁,2.0L,杭州市,宜春市,8-9年,1
2017,第二季度,广汽本田,本田,雅阁,2.4L,长治市,长治市,10-11年,4
2017,第二季度,广汽本田,本田,雅阁,2.0L,天津市,长春市,9-10年,1
2017,第二季度,广汽本田,本田,雅阁,2.4L,杭州市,杭州市,11-12年,5
2017,第二季度,广汽本田,本田,雅阁,2.0L,成都市,成都市,7-8年,13
2017,第二季度,广汽本田,本田,雅阁,2.4L,舟山市,杭州市,2-3年,1
2017,第二季度,广汽本田,本田,雅阁,2.4L,太原市,吴忠市,4-5年,1
2017,第二季度,广汽本田,本田,雅阁,2.4L,深圳市,深圳市,1-2年,3
2017,第二季度,广汽本田,本田,雅阁,2.4L,杭州市,哈密地区,13-14年,1
2017,第二季度,广汽本田,本田,雅阁,2.0L,阜阳市,南昌市,7-8年,1
2017,第二季度,广汽本田,本田,雅阁,2.0L,南京市,湛江市,14-15年,1
2017,第二季度,广汽本田,本田,雅阁,2.0L,南充市,荆州市,4-5年,1
2017,第二季度,广汽本田,本田,雅阁,2.0L,莆田市,莆田市,9-10年,5
2017,第二季度,广汽本田,本田,雅阁,2.0L,宁波市,滁州市,7-8年,1
2017,第二季度,广汽本田,本田,雅阁,2.4L,苏州市,茂名市,14-15年,1
2017,第二季度,广汽本田,本田,雅阁,2.0L,吴忠市,吴忠市,10-11年,1
2017,第二季度,广汽本田,本田,雅阁,2.4L,杭州市,盘锦市,9-10年,1
2017,第二季度,广汽本田,本田,雅阁,2.0L,济南市,潍坊市,7-8年,2
2017,第二季度,广汽本田,本田,雅阁,2.0L,大庆市,呼伦贝尔市,7-8年,2
2017,第二季度,广汽本田,本田,雅阁,2.0L,北京市,平顶山市,2-3年,1
2017,第二季度,广汽本田,本田,雅阁,2.4L,咸阳市,咸阳市,7-8年,1
2017,第二季度,广汽本田,本田,雅阁,2.0L,广州市,荆州市,4-5年,1
2017,第二季度,广汽本田,本田,雅阁,2.4L,岳阳市,岳阳市,6-7年,1
2017,第二季度,广汽本田,本田,雅阁,2.4L,克拉玛依市,克拉玛依市,8-9年,1
2017,第二季度,广汽本田,本田,雅阁,2.4L,温州市,宁波市,7-8年,1
2017,第二季度,广汽本田,本田,雅阁,2.4L,上海市,揭阳市,10-11年,1
2017,第二季度,广汽本田,本田,雅阁,2.0L,汉中市,汉中市,11-12年,2
2017,第二季度,广汽本田,本田,雅阁,2.4L,常州市,鸡西市,6-7年,1
2017,第二季度,广汽本田,本田,雅阁,2.4L,南昌市,南昌市,12-13年,2
2017,第二季度,广汽本田,本田,雅阁,2.4L,烟台市,烟台市,11-12年,3
2017,第二季度,广汽本田,本田,雅阁,2.0L,吴忠市,吴忠市,14-15年,2
2017,第二季度,广汽本田,本田,雅阁,2.0L,昭通市,昭通市,5-6年,1
2017,第二季度,广汽本田,本田,雅阁,3.0L,深圳市,茂名市,13-14年,1
2017,第二季度,广汽本田,本田,雅阁,2.0L,金华市,温州市,5-6年,2
2017,第二季度,广汽本田,本田,雅阁,2.0L,苏州市,宿迁市,2-3年,1
2017,第二季度,广汽本田,本田,雅阁,2.0L,大理白族自治州,红河哈尼族彝族自治州,5-6年,1
2017,第二季度,广汽本田,本田,雅阁,2.4L,哈尔滨市,哈尔滨市,5-6年,22
2017,第二季度,广汽本田,本田,雅阁,2.4L,芜湖市,吴忠市,7-8年,1
2017,第二季度,广汽本田,本田,雅阁,2.0L,三明市,泉州市,13-14年,1
2017,第二季度,广汽本田,本田,雅阁,2.0L,长沙市,大连市,8-9年,1
2017,第二季度,广汽本田,本田,雅阁,3.0L,阳江市,阳江市,15年以上,1
2017,第二季度,广汽本田,本田,雅阁,2.4L,上海市,茂名市,8-9年,1
2017,第二季度,广汽本田,本田,雅阁,2.0L,郑州市,包头市,7-8年,2
2017,第二季度,广汽本田,本田,雅阁,2.0L,福州市,南平市,6-7年,1
2017,第二季度,广汽本田,本田,雅阁,2.4L,石河子市,石河子市,12-13年,1
2017,第二季度,广汽本田,本田,雅阁,2.0L,咸宁市,咸宁市,10-11年,5
2017,第二季度,广汽本田,本田,雅阁,2.0L,广州市,合肥市,5-6年,2
2017,第二季度,广汽本田,本田,雅阁,2.0L,萍乡市,长沙市,2-3年,1
2017,第二季度,广汽本田,本田,雅阁,2.4L,淄博市,潍坊市,8-9年,1
2017,第二季度,广汽本田,本田,雅阁,3.5L,潍坊市,潍坊市,8-9年,1
2017,第二季度,广汽本田,本田,雅阁,2.0L,钦州市,防城港市,7-8年,1
2017,第二季度,广汽本田,本田,雅阁,2.0L,广州市,阜新市,5-6年,1
2017,第二季度,广汽本田,本田,雅阁,3.0L,常州市,常州市,14-15年,1
2017,第二季度,广汽本田,本田,雅阁,2.4L,长沙市,长沙市,9-10年,19
2017,第二季度,广汽本田,本田,雅阁,2.0L,石家庄市,廊坊市,2-3年,1
2017,第二季度,广汽本田,本田,雅阁,2.0L,鹤岗市,鹤岗市,5-6年,2
2017,第二季度,广汽本田,本田,雅阁,2.0L,宿州市,宿州市,11-12年,2
2017,第二季度,广汽本田,本田,雅阁,2.4L,西安市,长沙市,5-6年,1
2017,第二季度,广汽本田,本田,雅阁,2.4L,成都市,成都市,4-5年,2
2017,第二季度,广汽本田,本田,雅阁,2.0L,乌兰察布市,乌兰察布市,4-5年,1
2017,第二季度,广汽本田,本田,雅阁,2.0L,南昌市,上饶市,8-9年,1
2017,第二季度,广汽本田,本田,雅阁,2.4L,商洛市,和田地区,10-11年,1
2017,第二季度,广汽本田,本田,雅阁,2.4L,广州市,梅州市,5-6年,1
2017,第二季度,广汽本田,本田,雅阁,2.0L,杭州市,杭州市,10-11年,5
2017,第二季度,广汽本田,本田,雅阁,2.0L,济南市,大连市,7-8年,1
2017,第二季度,广汽本田,本田,雅阁,2.0L,南阳市,南阳市,10-11年,4
2017,第二季度,广汽本田,本田,雅阁,2.4L,北京市,松原市,4-5年,1
2017,第二季度,广汽本田,本田,雅阁,2.0L,平凉市,平凉市,8-9年,1
2017,第二季度,广汽本田,本田,雅阁,2.4L,北京市,汕头市,13-14年,1
2017,第二季度,广汽本田,本田,雅阁,3.0L,苏州市,云浮市,15年以上,1
2017,第二季度,广汽本田,本田,雅阁,2.4L,淮南市,淮南市,11-12年,4
2017,第二季度,广汽本田,本田,雅阁,2.4L,上海市,大庆市,7-8年,1
2017,第二季度,广汽本田,本田,雅阁,2.4L,保定市,保定市,13-14年,9
2017,第二季度,广汽本田,本田,雅阁,2.4L,杭州市,哈密地区,10-11年,1
2017,第二季度,广汽本田,本田,雅阁,2.0L,嘉兴市,威海市,6-7年,1
2017,第二季度,广汽本田,本田,雅阁,2.4L,曲靖市,昆明市,3-4年,1
2017,第二季度,广汽本田,本田,雅阁,2.0L,百色市,百色市,10-11年,2
2017,第二季度,广汽本田,本田,雅阁,2.0L,聊城市,聊城市,15年以上,1
2017,第二季度,广汽本田,本田,雅阁,2.0L,吉林市,哈尔滨市,6-7年,1
2017,第二季度,广汽本田,本田,雅阁,2.4L,聊城市,哈尔滨市,8-9年,1
2017,第二季度,广汽本田,本田,雅阁,2.4L,柳州市,柳州市,14-15年,1
2017,第二季度,广汽本田,本田,雅阁,2.0L,南平市,宁德市,7-8年,1
2017,第二季度,广汽本田,本田,雅阁,2.4L,乌海市,包头市,9-10年,1
2017,第二季度,广汽本田,本田,雅阁,2.4L,双鸭山市,双鸭山市,11-12年,2
2017,第二季度,广汽本田,本田,雅阁,2.4L,娄底市,娄底市,6-7年,3
2017,第二季度,广汽本田,本田,雅阁,2.3L,福州市,福州市,15年以上,10
2017,第二季度,广汽本田,本田,雅阁,2.0L,六安市,六安市,6-7年,12
2017,第二季度,广汽本田,本田,雅阁,2.0L,安阳市,太原市,6-7年,1
2017,第二季度,广汽本田,本田,雅阁,2.0L,宁波市,宁波市,5-6年,11
2017,第二季度,广汽本田,本田,雅阁,2.0L,成都市,天水市,9-10年,1
2017,第二季度,广汽本田,本田,雅阁,2.0L,杭州市,葫芦岛市,7-8年,1
2017,第二季度,广汽本田,本田,雅阁,2.4L,苏州市,乌鲁木齐市,8-9年,1
2017,第二季度,广汽本田,本田,雅阁,2.4L,韶关市,韶关市,10-11年,1
2017,第二季度,广汽本田,本田,雅阁,2.0L,成都市,银川市,2-3年,5
2017,第二季度,广汽本田,本田,雅阁,2.0L,怀化市,怀化市,13-14年,5
2017,第二季度,广汽本田,本田,雅阁,2.4L,南昌市,汕头市,10-11年,1
2017,第二季度,广汽本田,本田,雅阁,2.0L,广州市,清远市,1-2年,2
2017,第二季度,广汽本田,本田,雅阁,2.0L,娄底市,娄底市,11-12年,1
2017,第二季度,广汽本田,本田,雅阁,3.0L,嘉兴市,绍兴市,11-12年,1
2017,第二季度,广汽本田,本田,雅阁,2.4L,鹤壁市,鹤壁市,14-15年,1
2017,第二季度,广汽本田,本田,雅阁,2.0L,天津市,葫芦岛市,9-10年,1
2017,第二季度,广汽本田,本田,雅阁,2.4L,宁波市,宁波市,9-10年,28
2017,第二季度,广汽本田,本田,雅阁,2.0L,台州市,宁波市,6-7年,3
2017,第二季度,广汽本田,本田,雅阁,2.0L,天津市,四平市,4-5年,1
2017,第二季度,广汽本田,本田,雅阁,2.0L,遵义市,银川市,5-6年,1
2017,第二季度,广汽本田,本田,雅阁,2.4L,重庆市,黔东南苗族侗族自治州,12-13年,1
2017,第二季度,广汽本田,本田,雅阁,2.0L,辽源市,通辽市,6-7年,1
2017,第二季度,广汽本田,本田,雅阁,2.0L,辽阳市,鞍山市,5-6年,1
2017,第二季度,广汽本田,本田,雅阁,2.4L,白城市,白城市,7-8年,3
2017,第二季度,广汽本田,本田,雅阁,3.5L,承德市,承德市,8-9年,1
2017,第二季度,广汽本田,本田,雅阁,2.0L,深圳市,青岛市,5-6年,1
2017,第二季度,广汽本田,本田,雅阁,2.0L,嘉兴市,淮南市,1-2年,1
2017,第二季度,广汽本田,本田,雅阁,2.4L,唐山市,唐山市,12-13年,36
2017,第二季度,广汽本田,本田,雅阁,2.3L,珠海市,茂名市,12-13年,1
2017,第二季度,广汽本田,本田,雅阁,2.0L,揭阳市,揭阳市,12-13年,7
2017,第二季度,广汽本田,本田,雅阁,2.4L,南昌市,汕头市,14-15年,3
2017,第二季度,广汽本田,本田,雅阁,2.0L,徐州市,徐州市,3-4年,1
2017,第二季度,广汽本田,本田,雅阁,2.4L,临夏回族自治州,兰州市,12-13年,1
2017,第二季度,广汽本田,本田,雅阁,2.0L,上饶市,绍兴市,3-4年,1
2017,第二季度,广汽本田,本田,雅阁,2.4L,广州市,河源市,12-13年,2
2017,第二季度,广汽本田,本田,雅阁,2.0L,成都市,银川市,6-7年,4
2017,第二季度,广汽本田,本田,雅阁,2.0L,成都市,眉山市,6-7年,2
2017,第二季度,广汽本田,本田,雅阁,2.4L,深圳市,深圳市,11-12年,17
