广州市流出目标地区,外迁量o*
泸州市,0
洋浦经济开发区,0
洛阳市,0
济南市,0
南阳市,0
济源市,0
海东地区,0
海北藏族自治州,0
海南藏族自治州,0
南通市,0
海西蒙古族藏族自治州,0
南平市,0
南充市,0
南京市,0
淮安市,0
深圳市,0
十堰市,0
温州市,0
渭南市,0
港澳入出境车号牌,0
湖州市,0
湘潭市,0
湘西土家族苗族自治州,0
北京市,0
滁州市,0
滨州市,0
漯河市,0
漳州市,0
凉山彝族自治州,0
潜江市,0
内江市,0
兴安盟,0
烟台市,0
焦作市,0
牡丹江市,0
兴安,0
玉树藏族自治州,0
玉溪市,0
兰州市,0
琼北,0
琼南,0
甘南藏族自治州,0
甘孜藏族自治州,0
白城市,0
白山市,0
白银市,0
百色市,0
六安市,0
盐城市,0
盘锦市,0
眉山市,0
石嘴山市,0
石家庄市,0
石河子市,0
神农架林区,0
福州市,0
秦皇岛市,0
红河哈尼族彝族自治州,0
绍兴市,0
克拉玛依市,0
绵阳市,0
聊城市,0
克孜勒苏柯尔克孜自治州,0
自贡市,0
舟山市,0
芜湖市,0
苏州市,0
保山市,0
保定市,0
伊春市,0
大理白族自治州,0
莱芜市,0
菏泽市,0
仙桃市,0
营口市,0
葫芦岛市,0
亳州市,0
衡水市,0
衡阳市,0
衢州市,0
九江市,0
西双版纳傣族自治州,0
西宁市,0
乐山市,0
许昌市,0
贵港市,0
贵阳市,0
乌海市,0
资阳市,0
赣州市,0
乌兰察布市,0
辽源市,0
辽阳市,0
达州市,0
运城市,0
连云港市,0
迪庆藏族自治州,0
通化市,0
通辽市,0
遂宁市,0
遵义市,0
邢台市,0
那曲地区,0
邯郸市,0
邵阳市,0
郑州市,0
丽江市,0
鄂尔多斯市,0
鄂州市,0
酒泉市,0
重庆市,0
金华市,0
金昌市,0
丽水市,0
丹东市,0
铜仁地区,0
临沧市,0
铜川市,0
铜陵市,0
银川市,0
锡林郭勒盟,0
临沂市,0
镇江市,0
长春市,0
中卫市,0
长治市,0
长白山保护开发区,0
东营市,0
阜阳市,0
防城港市,0
东莞市,0
阳泉市,0
阿克苏地区,0
阿勒泰地区,0
阿坝藏族羌族自治州,0
阿拉善盟,0
阿里地区,0
陇南市,0
七台河市,0
雅安市,0
青岛市,0
鞍山市,0
上海市,0
马鞍山市,0
驻马店市,0
鸡西市,0
鹤壁市,0
鹤岗市,0
鹰潭市,0
三门峡市,0
黄南藏族自治州,0
三沙市,0
黄石市,0
黑河市,0
黔东南苗族侗族自治州,0
黔南布依族苗族自治州,0
三明市,0
三亚市,0
龙岩市,0
max: 73.0%
